"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042788","GO:0042788","polysomal ribosome","17/461","26/5203",1.42444980632567e-12,5.54240470097623e-11,4.59368023666746e-11,"RPL19/RPL10A/RPL41/RPL7A/EEF2/RPL24/RPL11/RPL36/RPL18/RPS21/RPS28/RPL31/RPL8/RPS26/RPL32/RPL39/RPL38",17
"GO:0005844","GO:0005844","polysome","21/461","43/5203",8.46531200171309e-12,3.01929461394434e-10,2.5024650391029e-10,"RPL19/RPS4X/RPL10A/CALR/RPL41/RPL7A/EEF2/RPL24/RPL11/RPS6/RPL36/RPL18/RPS21/RPS28/RPS4Y1/RPL31/RPL8/RPS26/RPL32/RPL39/RPL38",21
"GO:0070161","GO:0070161","anchoring junction","78/461","430/5203",1.46591697896713e-10,4.82624974613792e-09,4.00011353774835e-09,"ACTG1/RPS11/RPL19/RPL5/RPLP1/RPL4/S100A11/RPS4X/RPS18/RPS2/RPL10A/RHOB/YWHAE/PDLIM5/P4HB/RPLP0/HSPA5/CALR/RPL7A/PABPC1/PDIA3/HSP90B1/ACTB/TGM2/RPL3/CDH1/B2M/RPL12/APP/RPS13/PFN1/RPL13A/NDRG1/EPCAM/PPP1CB/RPS9/RPL18/HSPB1/RPS15/RPS8/RPLP2/CNN1/RPS16/RPL31/RPL7/RPL27/KRT8/CLDN3/BSG/CLDN4/ARF1/HSPA1A/ALOX15B/HSPA8/GNB2/RPL37A/RPS3A/SHROOM1/RPS14/YWHAZ/GRB7/RPS19/HSPA1B/DES/EZR/YWHAG/RPL8/RPS7/RPS5/RPL9/KRT18/CFL1/MYH9/RPL38/FLNA/SDC4/PGM5/CSRP1",78
"GO:0030141","GO:0030141","secretory granule","69/461","406/5203",3.40424063884716e-08,1.0407249953047e-06,8.62578267136462e-07,"ACP3/ANPEP/FTL/S100A11/NPY/KLK3/HSP90AB1/TMSB4X/HSP90AA1/EEF1A1/SKIL/DEGS1/CALR/LCN2/KLK2/TFF3/HLA-C/S100A9/EEF2/KLK4/B2M/APLP2/APP/PSAP/CD63/GRN/TIMP3/ORM1/A2M/CRISP3/HLA-B/PIGR/PYGB/BSG/HSPA1A/HSPA8/PRDX6/SLPI/LTF/MAGED2/ORMDL3/PSMD3/HSPA1B/SCGB1A1/GSTP1/OLFM4/ABHD2/ACLY/HSPD1/COL1A1/CD177/HSPA6/CHGA/GP2/BST2/DDOST/LGALS3/MYH9/SERPINI1/DEFA5/CST3/CHGB/CALML5/CFD/APRT/CLU/ORM2/SFTPA2/GRP",69
"GO:0098576","GO:0098576","lumenal side of membrane","12/461","24/5203",2.04856674231853e-07,5.84524377141555e-06,4.84468064674629e-06,"CALR/CANX/HLA-C/HLA-DRA/HLA-E/HLA-B/HSPA8/HLA-DRB5/HLA-A/CD74/NUCB1/HLA-DRB1",12
"GO:0072562","GO:0072562","blood microparticle","22/461","78/5203",5.47424802194213e-07,1.46436134586952e-05,1.21369841012796e-05,"ACTG1/CLIC1/ACTB/PFN1/IGKC/ORM1/A2M/ACTG2/HSPA1A/IGHG1/HSPA8/IGHG2/YWHAZ/HSPA1B/HSPA6/IGHA1/IGLC3/ACSM1/CLU/ORM2/IGHG4/IGLC2",22
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","40/461","202/5203",6.57949498190003e-07,1.65648461897248e-05,1.37293486619214e-05,"CALR/TMEFF2/S100A9/HSP90B1/GDF15/TGM2/PSAP/F3/AZGP1/FMOD/SPARCL1/TGM4/CCN2/IGFBP7/AEBP1/TIMP3/ORM1/A2M/BCAM/BGN/COMP/COL3A1/MDK/SLPI/COL2A1/COL1A1/COL1A2/S100A6/LGALS1/NPNT/LGALS3/CCN1/MGP/LUM/CLU/ORM2/PTN/S100A4/SFRP1/MFAP4",40
"GO:0099503","GO:0099503","secretory vesicle","70/461","450/5203",9.59842640002173e-07,2.28229249956072e-05,1.89161970573528e-05,"ACP3/ANPEP/FTL/S100A11/NPY/KLK3/HSP90AB1/TMSB4X/HSP90AA1/EEF1A1/SKIL/DEGS1/CALR/LCN2/KLK2/TFF3/HLA-C/S100A9/EEF2/KLK4/B2M/APLP2/APP/PSAP/CD63/GRN/TIMP3/ORM1/A2M/CRISP3/HLA-B/PIGR/PYGB/BSG/HSPA1A/SYNGR2/HSPA8/PRDX6/SLPI/LTF/MAGED2/ORMDL3/PSMD3/HSPA1B/SCGB1A1/GSTP1/OLFM4/ABHD2/ACLY/HSPD1/COL1A1/CD177/HSPA6/CHGA/GP2/BST2/DDOST/LGALS3/MYH9/SERPINI1/DEFA5/CST3/CHGB/CALML5/CFD/APRT/CLU/ORM2/SFTPA2/GRP",70
"GO:0098552","GO:0098552","side of membrane","44/461","236/5203",1.0328534021362e-06,2.32663819007523e-05,1.92837449595512e-05,"ANPEP/EEF1A1/P4HB/CALR/TRGC1/CANX/HLA-C/CDH1/B2M/F3/AZGP1/HLA-DRA/IGKC/RPS28/HLA-E/BCAM/RPL27/HLA-B/IGHG1/CD24/HSPA8/HLA-DRB5/IGHG2/GNB2/HLA-A/MIEN1/EZR/GP2/RPS26/CD74/S100A6/TRGC2/IGHA1/TRPM8/IGLC3/KRT18/SDC1/MYH9/NUCB1/HLA-DRB1/RGS2/PGM5/IGHG4/IGLC2",44
"GO:0030312","GO:0030312","external encapsulating structure","44/461","238/5203",1.31435372614718e-06,2.67877807043331e-05,2.22023662010828e-05,"CALR/TMEFF2/S100A9/HSP90B1/GDF15/TGM2/SPON2/PSAP/F3/AZGP1/FMOD/SPARCL1/TGM4/CCN2/IGFBP7/AEBP1/TIMP3/ORM1/A2M/CRISP3/BCAM/BGN/COMP/COL3A1/MDK/SLPI/COL2A1/COL1A1/MUC6/COL1A2/S100A6/LGALS1/MMP7/NPNT/LGALS3/CCN1/MGP/LUM/CLU/ORM2/PTN/S100A4/SFRP1/MFAP4",44
"GO:0031012","GO:0031012","extracellular matrix","44/461","238/5203",1.31435372614718e-06,2.67877807043331e-05,2.22023662010828e-05,"CALR/TMEFF2/S100A9/HSP90B1/GDF15/TGM2/SPON2/PSAP/F3/AZGP1/FMOD/SPARCL1/TGM4/CCN2/IGFBP7/AEBP1/TIMP3/ORM1/A2M/CRISP3/BCAM/BGN/COMP/COL3A1/MDK/SLPI/COL2A1/COL1A1/MUC6/COL1A2/S100A6/LGALS1/MMP7/NPNT/LGALS3/CCN1/MGP/LUM/CLU/ORM2/PTN/S100A4/SFRP1/MFAP4",44
"GO:0071556","GO:0071556","integral component of lumenal side of endoplasmic reticulum membrane","10/461","20/5203",2.21771650031619e-06,4.12688113971882e-05,3.42045977394305e-05,"CALR/CANX/HLA-C/HLA-DRA/HLA-E/HLA-B/HLA-DRB5/HLA-A/CD74/HLA-DRB1",10
"GO:0098553","GO:0098553","lumenal side of endoplasmic reticulum membrane","10/461","20/5203",2.21771650031619e-06,4.12688113971882e-05,3.42045977394305e-05,"CALR/CANX/HLA-C/HLA-DRA/HLA-E/HLA-B/HLA-DRB5/HLA-A/CD74/HLA-DRB1",10
"GO:0005791","GO:0005791","rough endoplasmic reticulum","15/461","45/5203",3.68681763962481e-06,6.57482479066425e-05,5.44937519541036e-05,"RPL4/CANX/APP/RPN2/RPL18/RPS21/RPS28/RPL27/SCGB1A1/HSPD1/RPS26/SSR4/SEC61A1/NUCB1/SFTPA2",15
"GO:0034774","GO:0034774","secretory granule lumen","34/461","179/5203",1.21723834534759e-05,0.000200376158387988,0.000166076648737707,"FTL/S100A11/HSP90AB1/TMSB4X/HSP90AA1/EEF1A1/LCN2/S100A9/EEF2/B2M/APP/GRN/TIMP3/ORM1/A2M/CRISP3/PYGB/HSPA8/PRDX6/SLPI/LTF/MAGED2/PSMD3/GSTP1/OLFM4/ACLY/HSPA6/SERPINI1/DEFA5/CFD/APRT/CLU/ORM2/GRP",34
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","34/461","179/5203",1.21723834534759e-05,0.000200376158387988,0.000166076648737707,"FTL/S100A11/HSP90AB1/TMSB4X/HSP90AA1/EEF1A1/LCN2/S100A9/EEF2/B2M/APP/GRN/TIMP3/ORM1/A2M/CRISP3/PYGB/HSPA8/PRDX6/SLPI/LTF/MAGED2/PSMD3/GSTP1/OLFM4/ACLY/HSPA6/SERPINI1/DEFA5/CFD/APRT/CLU/ORM2/GRP",34
"GO:0042611","GO:0042611","MHC protein complex","9/461","19/5203",1.28368913676518e-05,0.000203488500198332,0.0001686562335633,"HLA-C/B2M/HLA-DRA/HLA-E/HLA-B/HLA-DRB5/HLA-A/CD74/HLA-DRB1",9
"GO:0031983","GO:0031983","vesicle lumen","34/461","180/5203",1.37891981831728e-05,0.000210777743657069,0.000174697736380798,"FTL/S100A11/HSP90AB1/TMSB4X/HSP90AA1/EEF1A1/LCN2/S100A9/EEF2/B2M/APP/GRN/TIMP3/ORM1/A2M/CRISP3/PYGB/HSPA8/PRDX6/SLPI/LTF/MAGED2/PSMD3/GSTP1/OLFM4/ACLY/HSPA6/SERPINI1/DEFA5/CFD/APRT/CLU/ORM2/GRP",34
"GO:0009986","GO:0009986","cell surface","53/461","344/5203",3.0741123334454e-05,0.000453696578867114,0.000376034793601125,"ANPEP/HSP90AB1/P4HB/HSPA5/CALR/TRGC1/FOLH1/HLA-C/PDIA3/ATP5F1B/B2M/APP/CD63/F3/AZGP1/EPCAM/HLA-DRA/IGKC/HLA-E/BCAM/BGN/HLA-B/IGHG1/CD24/IGHG2/RAMP1/LTF/HLA-A/HSPD1/GP2/PLXNB2/CD74/LGALS1/MMP7/BST2/TRGC2/IGHA1/TRPM8/IGLC3/KRT18/TSPAN8/LGALS3/SDC1/ENO1/HLA-DRB1/CLU/ADGRF5/PTN/APMAP/SDC4/SFRP1/IGHG4/IGLC2",53
"GO:0005730","GO:0005730","nucleolus","53/461","371/5203",0.000238137351070739,0.00339742620860921,0.00281586973020488,"RPS11/RPL19/RPL5/RPL4/EDF1/EEF1A1/RPL35/RPL7A/RPL3/RPS13/RPL13A/RPL11/RPS6/PPP1CB/RPL36/RPS9/RPL18/RPS27A/RPL13/RPL31/RPL7/RPL27/PAK1IP1/TCIM/SNORA74B/SCARNA5/SNORA23/SNORA22/RPS25/SNORA73B/SCARNA7/SNORD17/NUCKS1/SNORA74A/SNORA28/SNORA47/SCD/HSPA8/RPS3A/RPS14/MAGED2/RPS19/EZR/RPS7/KRT18/H1-10/CDKN1A/GPRC5A/S100A16/NOP53/FLNA/ETV4/RGS2",53
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I","9/461","27/5203",0.000341546345680667,0.00442975260458562,0.00367148703331371,"ND1/ND5/ND4L/NDUFS5/NDUFB11/NDUFS6/NDUFB7/ND2/NDUFA1",9
"GO:0030964","GO:0030964","NADH dehydrogenase complex","9/461","27/5203",0.000341546345680667,0.00442975260458562,0.00367148703331371,"ND1/ND5/ND4L/NDUFS5/NDUFB11/NDUFS6/NDUFB7/ND2/NDUFA1",9
"GO:0045271","GO:0045271","respiratory chain complex I","9/461","27/5203",0.000341546345680667,0.00442975260458562,0.00367148703331371,"ND1/ND5/ND4L/NDUFS5/NDUFB11/NDUFS6/NDUFB7/ND2/NDUFA1",9
"GO:0016234","GO:0016234","inclusion body","9/461","29/5203",0.000621534523704831,0.00782402282781375,0.00648474100583678,"HSP90AB1/EEF2/GPX1/ATF4/HSPA1A/HSPA1B/HERPUD1/NEFH/CLU",9
"GO:0042470","GO:0042470","melanosome","15/461","72/5203",0.00131109708714834,0.0155874875916524,0.0129192900107892,"HSP90AB1/YWHAE/HSP90AA1/P4HB/HSPA5/CANX/PDIA3/HSP90B1/CD63/MYH11/BSG/HSPA8/YWHAZ/FASN/SLC1A5",15
"GO:0048770","GO:0048770","pigment granule","15/461","72/5203",0.00131109708714834,0.0155874875916524,0.0129192900107892,"HSP90AB1/YWHAE/HSP90AA1/P4HB/HSPA5/CANX/PDIA3/HSP90B1/CD63/MYH11/BSG/HSPA8/YWHAZ/FASN/SLC1A5",15
"GO:0031227","GO:0031227","intrinsic component of endoplasmic reticulum membrane","17/461","88/5203",0.00155350277515435,0.0177093931085933,0.0146779770722969,"HSPA5/CALR/CANX/HLA-C/PDIA3/B2M/HLA-DRA/HLA-E/HLA-B/SCD/HLA-DRB5/HLA-A/PGAP3/CD74/SEC61A1/HLA-DRB1/ELOVL5",17
"GO:0098644","GO:0098644","complex of collagen trimers","5/461","11/5203",0.00157232929468819,0.0177093931085933,0.0146779770722969,"COL3A1/COL2A1/COL1A1/COL1A2/LUM",5
"GO:0070469","GO:0070469","respirasome","13/461","60/5203",0.00186836468977247,0.0205041048005799,0.0169943023064324,"ND1/ND6/ND5/ND4L/NDUFS5/COX7C/COX8A/NDUFB11/NDUFS6/NDUFB7/ND2/COX5B/NDUFA1",13
"GO:0005746","GO:0005746","mitochondrial respirasome","12/461","54/5203",0.00220610662333936,0.0230296008485182,0.0190874950466076,"ND1/ND5/ND4L/NDUFS5/COX7C/COX8A/NDUFB11/NDUFS6/NDUFB7/ND2/COX5B/NDUFA1",12
"GO:0098803","GO:0098803","respiratory chain complex","12/461","54/5203",0.00220610662333936,0.0230296008485182,0.0190874950466076,"ND1/ND5/ND4L/NDUFS5/COX7C/COX8A/NDUFB11/NDUFS6/NDUFB7/ND2/COX5B/NDUFA1",12
"GO:0030176","GO:0030176","integral component of endoplasmic reticulum membrane","16/461","84/5203",0.0024626931920804,0.0250960163383431,0.0208001906198269,"HSPA5/CALR/CANX/HLA-C/PDIA3/B2M/HLA-DRA/HLA-E/HLA-B/SCD/HLA-DRB5/HLA-A/CD74/SEC61A1/HLA-DRB1/ELOVL5",16
"GO:0044815","GO:0044815","DNA packaging complex","8/461","29/5203",0.00288243532150335,0.0286902864558938,0.0237792093842504,"H1-2/H1-0/H2AJ/H2BC21/H1-10/H3-3B/H2AC6/NCAPD3",8
"GO:0009897","GO:0009897","external side of plasma membrane","24/461","152/5203",0.00350502405143461,0.0340943248639548,0.0282582082615661,"ANPEP/P4HB/CALR/TRGC1/B2M/F3/AZGP1/IGKC/HLA-E/BCAM/IGHG1/CD24/IGHG2/GP2/CD74/TRGC2/IGHA1/TRPM8/IGLC3/KRT18/SDC1/HLA-DRB1/IGHG4/IGLC2",24
"GO:0071682","GO:0071682","endocytic vesicle lumen","5/461","13/5203",0.00377153291033027,0.0358714685693635,0.0297311483223696,"SAA1/HSP90AA1/CALR/HSP90B1/LTF",5
"GO:0140534","GO:0140534","endoplasmic reticulum protein-containing complex","14/461","73/5203",0.00421931891457114,0.0392580107703576,0.0325379971215212,"P4HB/HSPA5/CALR/PDIA3/HSP90B1/B2M/DAD1/RPN2/HLA-A/ORMDL3/OST4/DDOST/SSR4/SEC61A1",14
"GO:0042613","GO:0042613","MHC class II protein complex","5/461","14/5203",0.00544556152131924,0.048497670237232,0.0401960523117245,"B2M/HLA-DRA/HLA-DRB5/CD74/HLA-DRB1",5
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","25/461","166/5203",0.00550009156833681,0.048497670237232,0.0401960523117245,"P4HB/HSPA5/CALR/CANX/GOLM1/PDIA3/HSP90B1/B2M/APLP2/APP/SPARCL1/IGFBP7/IGFBP4/COL3A1/IGFBP5/COL2A1/COL1A1/COL1A2/DBI/LGALS1/CCN1/CST3/CHGB/NUCB1/CLU",25
"GO:0099572","GO:0099572","postsynaptic specialization","18/461","107/5203",0.00555230336828124,0.048497670237232,0.0401960523117245,"RPS18/RPL10A/PDLIM5/RPLP0/RPS27/RPL12/RPS13/RPL7/ARF1/RPS25/HSPA8/RPS14/RPS19/RPL8/ND2/NEFH/RPL38/CAMK2N1",18
"GO:0012507","GO:0012507","ER to Golgi transport vesicle membrane","9/461","39/5203",0.0059203970727969,0.0503118051830276,0.0416996516150524,"HLA-C/B2M/HLA-DRA/HLA-E/HLA-B/HLA-DRB5/HLA-A/CD74/HLA-DRB1",9
"GO:0048471","GO:0048471","perinuclear region of cytoplasm","40/461","303/5203",0.00599509828115515,0.0503118051830276,0.0416996516150524,"CLIC1/HSP90AB1/HSP90AA1/GAPDH/CALR/ODC1/HSP90B1/TGM2/CDH1/APP/APOD/NDRG1/RPS6/TSPAN1/CCN2/ARF1/HSPA1A/HSPA8/GNB2/PRDX6/PRDX5/ERBB2/HSPA1B/ITM2C/MRFAP1/OLFM4/IFITM3/RASD1/EZR/RACK1/CHGA/S100A6/KRT18/CIB1/CDKN1A/FLNA/CDK19/CLU/PTN/S100A4",40
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","15/461","84/5203",0.00625402349613951,0.0514754241605329,0.0426640874129356,"ND1/ND5/ND4L/SLC25A6/ATP5F1B/ATP8/NDUFS5/COX7C/COX8A/NDUFB11/NDUFS6/NDUFB7/ND2/COX5B/NDUFA1",15
"GO:0098984","GO:0098984","neuron to neuron synapse","18/461","109/5203",0.00676222172870161,0.054608130186496,0.045260550597268,"RPS18/RPL10A/PDLIM5/RPLP0/RPS27/RPL12/RPS13/RPL7/ARF1/RPS25/RPS14/YWHAZ/RPS19/RPL8/ND2/NEFH/RPL38/CAMK2N1",18
"GO:0014069","GO:0014069","postsynaptic density","17/461","102/5203",0.00762723700558421,0.0604529155257415,0.0501048512842471,"RPS18/RPL10A/PDLIM5/RPLP0/RPS27/RPL12/RPS13/RPL7/ARF1/RPS25/RPS14/RPS19/RPL8/ND2/NEFH/RPL38/CAMK2N1",17
"GO:0045095","GO:0045095","keratin filament","4/461","10/5203",0.00828607307024711,0.064480714073923,0.0534431889889622,"KRT8/KRT5/KRT18/KRT13",4
"GO:0032279","GO:0032279","asymmetric synapse","17/461","104/5203",0.00925891073893464,0.0703426070385225,0.0583016688932171,"RPS18/RPL10A/PDLIM5/RPLP0/RPS27/RPL12/RPS13/RPL7/ARF1/RPS25/RPS14/RPS19/RPL8/ND2/NEFH/RPL38/CAMK2N1",17
"GO:0000786","GO:0000786","nucleosome","7/461","28/5203",0.0093680574794294,0.0703426070385225,0.0583016688932171,"H1-2/H1-0/H2AJ/H2BC21/H1-10/H3-3B/H2AC6",7
"GO:0045202","GO:0045202","synapse","51/461","419/5203",0.010324601822303,0.076188441033546,0.0631468387316896,"ACTG1/RPL19/RPL5/NR4A1/NPY/RPS4X/RPS18/RPL10A/YWHAE/PDLIM5/RPLP0/CANX/EEF2/ACTB/RPS27/CDH1/RPL12/APP/RPS13/RPL24/PFN1/NDRG1/RPS9/SPARCL1/RPS21/RPS15/RPL7/ARF1/RPS25/SYNGR2/HSPA8/RPS14/YWHAZ/PPP1R1B/RPS19/DES/YWHAG/ALDH1A1/RPL8/RPS7/ND2/RPL37/SCGN/ARF4/NEFH/MYH9/RPL38/FLNA/CLU/CAMK2N1/PTN",51
"GO:0043292","GO:0043292","contractile fiber","20/461","132/5203",0.0115718493656047,0.0831907091520302,0.068950489385721,"ACTG1/PDLIM5/MYL9/HSPB1/ACTA2/TPM2/MYH11/KRT8/ARF1/KRT19/DES/MYL12B/RPL15/NPNT/ENO1/FLNA/SDC4/LMOD1/PGM5/CSRP1",20
"GO:0035580","GO:0035580","specific granule lumen","8/461","36/5203",0.0117286929358505,0.0831907091520302,0.068950489385721,"LCN2/B2M/ORM1/CRISP3/SLPI/LTF/OLFM4/ORM2",8
"GO:0030139","GO:0030139","endocytic vesicle","21/461","141/5203",0.0118566197623221,0.0831907091520302,0.068950489385721,"ACTG1/SAA1/HSP90AA1/CALR/HLA-C/PDIA3/HSP90B1/B2M/HLA-DRA/RPS27A/HLA-E/HLA-B/HLA-DRB5/LTF/HLA-A/CD74/ATP6V0E1/UBC/AP2S1/HLA-DRB1/SFTPA2",21
"GO:0008250","GO:0008250","oligosaccharyltransferase complex","4/461","11/5203",0.0121224980848522,0.083684341618012,0.0693596240168964,"DAD1/RPN2/OST4/DDOST",4
"GO:0005796","GO:0005796","Golgi lumen","9/461","44/5203",0.0133338618973188,0.0905856014611499,0.0750795565479772,"APP/FMOD/BGN/MUC6/SDC1/DEFA5/DEFA6/LUM/SDC4",9
